COUNTY,NO_FANS,UNDER_10,10_TO_20,OVER_20,FANS_DOME,
"Maricopa,AZ",0,3,0,0,1,
"Fulton,GA",0,1,2,0,1,
"Baltimore city,MD",2,1,0,0,0,
"Mecklenburg,NC",0,5,0,0,0,
"Hamilton,OH",0,1,2,0,0,
"Cuyahoga,OH",0,0,4,0,0,
"Tarrant,TX",0,0,0,4,1,
"Denver,CO",0,3,0,0,0,
"Harris,TX",0,0,4,0,1,
"Marion,IN",0,0,3,0,1,
"Duval,FL",0,0,0,3,0,
"Jackson,MO",0,0,4,0,0,
"Miami-Dade,FL",0,0,4,0,0,
"Orleans Parish,LA",0,4,0,0,1,
"Allegheny,PA",0,3,0,0,0,
"Hillsborough,FL",0,1,0,3,0,
"Davidson,TN",0,0,3,2,0,
"Prince George's,MD",3,1,0,0,0,
"Bergen,NJ",7,0,0,0,0,
"Los Angeles,CA",6,0,0,0,0,
"Cook,IL",4,0,0,0,0,
"Philadelphia,PA",3,0,0,0,0,
"Norfolk,MA",3,0,0,0,0,
"Santa Clara,CA",4,0,0,0,0,
"Wayne,MI",3,0,0,0,0,
"King,WA",3,0,0,0,0,
"Hennepin,MN",3,0,0,0,0,
"Clark,NV",4,0,0,0,0,
"Brown,WI",3,0,0,0,0,
"Erie,NY",3,0,0,0,0,
,,,,,,
,,,,,,
