COUNTY,NO_FANS,UNDER_10,10_TO_20,OVER_20,FANS_DOME
"Maricopa,AZ",2,3,0,0,1
"Fulton,GA",2,1,2,0,1
"Baltimore city,MD",4,1,0,0,0
"Mecklenburg,NC",0,6,0,0,0
"Hamilton,OH",1,1,2,0,0
"Cuyahoga,OH",0,2,4,0,0
"Tarrant,TX",0,0,0,5,1
"Denver,CO",1,4,0,0,0
"Harris,TX",1,0,4,0,1
"Marion,IN",0,1,4,0,1
"Duval,FL",0,0,0,5,0
"Jackson,MO",0,0,4,1,0
"Miami-Dade,FL",0,0,5,0,0
"Orleans Parish,LA",3,3,0,0,1
"Allegheny,PA",2,3,0,0,0
"Hillsborough,FL",1,1,0,3,0
"Davidson,TN",1,0,3,2,0
"Prince George's,MD",4,1,0,0,0
"Bergen,NJ",10,0,0,0,0
"Los Angeles,CA",9,0,0,0,0
"Cook,IL",5,0,0,0,0
"Philadelphia,PA",5,0,0,0,0
"Norfolk,MA",5,0,0,0,0
"Santa Clara,CA",5,0,0,0,0
"Wayne,MI",4,0,0,0,0
"King,WA",5,0,0,0,0
"Hennepin,MN",5,0,0,0,0
"Clark,NV",5,0,0,0,0
"Brown,WI",4,0,0,0,0
"Erie,NY",5,0,0,0,0
