COUNTY,MANDATE,,,
"Gila,AZ",0,,,
"Maricopa,AZ",0,,,
"Pinal,AZ",0,,,
"Alameda,CA",1,,,
"Contra Costa,CA",1,,,
"Los Angeles,CA",1,,,
"Marin,CA",1,,,
"Orange,CA",1,,,
"San Benito,CA",1,,,
"San Francisco,CA",1,,,
"San Mateo,CA",1,,,
"Santa Clara,CA",1,,,
"Adams,CO",1,,,
"Arapahoe,CO",1,,,
"Broomfield,CO",1,,,
"Clear Creek,CO",1,,,
"Denver,CO",1,,,
"Douglas,CO",1,,,
"Elbert,CO",1,,,
"Gilpin,CO",1,,,
"Jefferson,CO",1,,,
"Park,CO",1,,,
"District of Columbia,DC",1,,,
"New Castle,DE",1,,,
"Baker,FL",0,,,
"Broward,FL",0,,,
"Clay,FL",0,,,
"Duval,FL",0,,,
"Hernando,FL",0,,,
"Hillsborough,FL",0,,,
"Miami-Dade,FL",0,,,
"Nassau,FL",0,,,
"Palm Beach,FL",0,,,
"Pasco,FL",0,,,
"Pinellas,FL",0,,,
"St. Johns,FL",0,,,
"Barrow,GA",0,,,
"Bartow,GA",0,,,
"Butts,GA",0,,,
"Carroll,GA",0,,,
"Cherokee,GA",0,,,
"Clayton,GA",0,,,
"Cobb,GA",0,,,
"Coweta,GA",0,,,
"DeKalb,GA",0,,,
"Douglas,GA",0,,,
"Fayette,GA",0,,,
"Forsyth,GA",0,,,
"Fulton,GA",0,,,
"Gwinnett,GA",0,,,
"Henry,GA",0,,,
"Newton,GA",0,,,
"Paulding,GA",0,,,
"Pickens,GA",0,,,
"Rockdale,GA",0,,,
"Spalding,GA",0,,,
"Walton,GA",0,,,
"Cook,IL",1,,,
"DeKalb,IL",1,,,
"DuPage,IL",1,,,
"Grundy,IL",1,,,
"Kane,IL",1,,,
"Kankakee,IL",1,,,
"Kendall,IL",1,,,
"Lake,IL",1,,,
"McHenry,IL",1,,,
"Will,IL",1,,,
"Boone,IN",1,,,
"Brown,IN",1,,,
"Dearborn,IN",1,,,
"Franklin,IN",1,,,
"Hamilton,IN",1,,,
"Hancock,IN",1,,,
"Hendricks,IN",1,,,
"Jasper,IN",1,,,
"Johnson,IN",1,,,
"Lake,IN",1,,,
"Madison,IN",1,,,
"Marion,IN",1,,,
"Morgan,IN",1,,,
"Newton,IN",1,,,
"Ohio,IN",1,,,
"Porter,IN",1,,,
"Putnam,IN",1,,,
"Shelby,IN",1,,,
"Union,IN",1,,,
"Johnson,KS",0,,,
"Leavenworth,KS",0,,,
"Linn,KS",0,,,
"Miami,KS",0,,,
"Wyandotte,KS",0,,,
"Boone,KY",1,,,
"Bracken,KY",1,,,
"Campbell,KY",1,,,
"Gallatin,KY",1,,,
"Grant,KY",1,,,
"Kenton,KY",1,,,
"Pendleton,KY",1,,,
"Jefferson Parish,LA",1,,,
"Orleans Parish,LA",1,,,
"Plaquemines Parish,LA",1,,,
"St. Bernard Parish,LA",1,,,
"St. Charles Parish,LA",1,,,
"St. James Parish,LA",1,,,
"St. John the Baptist Parish,LA",1,,,
"St. Tammany Parish,LA",1,,,
"Essex,MA",1,,,
"Middlesex,MA",1,,,
"Norfolk,MA",1,,,
"Plymouth,MA",1,,,
"Suffolk,MA",1,,,
"Anne Arundel,MD",1,,,
"Baltimore city,MD",1,,,
"Baltimore,MD",1,,,
"Calvert,MD",1,,,
"Carroll,MD",1,,,
"Cecil,MD",1,,,
"Charles,MD",1,,,
"Frederick,MD",1,,,
"Harford,MD",1,,,
"Howard,MD",1,,,
"Montgomery,MD",1,,,
"Prince George's,MD",1,,,
"Queen Anne's,MD",1,,,
"Lapeer,MI",1,,,
"Livingston,MI",1,,,
"Macomb,MI",1,,,
"Oakland,MI",1,,,
"St. Clair,MI",1,,,
"Wayne,MI",1,,,
"Anoka,MN",1,,,
"Carver,MN",1,,,
"Chisago,MN",1,,,
"Dakota,MN",1,,,
"Hennepin,MN",1,,,
"Isanti,MN",1,,,
"Le Sueur,MN",1,,,
"Mille Lacs,MN",1,,,
"Ramsey,MN",1,,,
"Scott,MN",1,,,
"Sherburne,MN",1,,,
"Sibley,MN",1,,,
"Washington,MN",1,,,
