Date,Rt,Rt upper,Rt lower
"Los Angeles, California",1.400607241,1.412132472,1.389128588
"Norfolk, Massachusetts",1.396021821,1.454108139,1.339103528
"Santa Clara, California",1.349003614,1.384756411,1.313712079
"Orleans, Louisiana",1.304026992,1.377449145,1.232588842
"Mecklenburg, North Carolina",1.286052642,1.32679471,1.245937312
"Fulton, Georgia",1.274187178,1.320114046,1.229062451
"Allegheny, Pennsylvania",1.22726938,1.259282344,1.195662991
"Philadelphia, Pennsylvania",1.207983194,1.234953056,1.181307039
"Clark, Nevada",1.197973904,1.218589056,1.177532222
"Prince George's, Maryland",1.196500935,1.238943118,1.154788465
"King, Washington",1.18905058,1.222206743,1.156344177
"Marion, Indiana",1.180798642,1.209439786,1.152496043
"Maricopa, Arizona",1.176249518,1.191556489,1.16104015
"Hillsborough, Florida",1.150463155,1.19000223,1.111583071
"Bergen, New Jersey",1.131421477,1.170013074,1.093468311
"Duval, Florida",1.100224507,1.137287385,1.063767302
"Tarrant, Texas",1.098614593,1.119038944,1.07837579
"Miami-Dade, Florida",1.083261266,1.100410397,1.066244977
"Cuyahoga, Ohio",1.082790848,1.109785863,1.056123696
"Baltimore City, Maryland",1.081808921,1.131002194,1.033694742
"Cook, Illinois",1.079438053,1.092516367,1.066437413
"Erie, New York",1.072183061,1.104487943,1.040351166
"Jackson, Missouri",1.067574627,1.118197276,1.01810886
"Hamilton, Ohio",1.056591942,1.088374917,1.025273561
"Harris, Texas",1.030201681,1.052778017,1.007866718
"Davidson, Tennessee",0.995368221,1.031630255,0.959746203
"Denver, Colorado",0.965132079,0.997492804,0.933297763
"Brown, Wisconsin",0.947681952,1.001083878,0.895724189
"Wayne, Michigan",0.946884027,0.970255157,0.923793948
"Hennepin, Minnesota",0.939479136,0.961004333,0.918194432
