COUNTY,NOT BIDEN %,NO_FANS,,
"Gila,AZ",0.664,2,,
"Maricopa,AZ",0.481,2,,
"Pinal,AZ",0.579,4,,
"Alameda,CA",0.177,0,,
"Contra Costa,CA",0.263,1,,
"Los Angeles,CA",0.269,0,,
"Marin,CA",0.158,0,,
"Orange,CA",0.445,1,,
"San Benito,CA",0.368,1,,
"San Francisco,CA",0.127,0,,
"San Mateo,CA",0.202,0,,
"Santa Clara,CA",0.252,0,,
"Adams,CO",0.404,0,,
"Arapahoe,CO",0.364,1,,
"Broomfield,CO",0.349,2,,
"Clear Creek,CO",0.421,1,,
"Denver,CO",0.182,1,,
"Douglas,CO",0.524,4,,
"Elbert,CO",0.739,10,,
"Gilpin,CO",0.438,9,,
"Jefferson,CO",0.393,5,,
"Park,CO",0.569,5,,
"District of Columbia,DC",0.054,5,,
"New Castle,DE",0.307,5,,
"Baker,FL",0.847,4,,
"Broward,FL",0.348,5,,
"Clay,FL",0.679,5,,
"Duval,FL",0.474,5,,
"Hernando,FL",0.646,4,,
"Hillsborough,FL",0.46,5,,
"Miami-Dade,FL",0.461,5,,
"Nassau,FL",0.724,5,,
"Palm Beach,FL",0.433,5,,
"Pasco,FL",0.595,5,,
"Pinellas,FL",0.494,5,,
"St. Johns,FL",0.628,5,,
"Barrow,GA",0.707,5,,
"Bartow,GA",0.747,5,,
"Butts,GA",0.714,5,,
"Carroll,GA",0.688,5,,
"Cherokee,GA",0.688,5,,
"Clayton,GA",0.141,5,,
"Cobb,GA",0.42,5,,
"Coweta,GA",0.671,5,,
"DeKalb,GA",0.157,5,,
"Douglas,GA",0.368,5,,
"Fayette,GA",0.527,5,,
"Forsyth,GA",0.658,5,,
"Fulton,GA",0.262,5,,
"Gwinnett,GA",0.402,5,,
"Henry,GA",0.393,5,,
"Newton,GA",0.44,5,,
"Paulding,GA",0.639,5,,
"Pickens,GA",0.822,5,,
"Rockdale,GA",0.291,5,,
"Spalding,GA",0.6,5,,
"Walton,GA",0.741,5,,
"Cook,IL",0.24,5,,
"DeKalb,IL",0.458,5,,
"DuPage,IL",0.399,5,,
"Grundy,IL",0.622,5,,
"Kane,IL",0.417,5,,
"Kankakee,IL",0.573,5,,
"Kendall,IL",0.461,5,,
"Lake,IL",0.37,5,,
"McHenry,IL",0.502,5,,
"Will,IL",0.449,5,,
"Boone,IN",0.581,5,,
"Brown,IN",0.643,5,,
"Dearborn,IN",0.77,5,,
"Franklin,IN",0.808,5,,
"Hamilton,IN",0.524,5,,
"Hancock,IN",0.676,5,,
"Hendricks,IN",0.608,5,,
"Jasper,IN",0.736,5,,
"Johnson,IN",0.66,5,,
"Lake,IN",0.417,5,,
"Madison,IN",0.603,5,,
"Marion,IN",0.345,5,,
"Morgan,IN",0.761,5,,
"Newton,IN",0.75,5,,
"Ohio,IN",0.668,5,,
"Porter,IN",0.521,5,,
"Putnam,IN",0.74,5,,
"Shelby,IN",0.729,5,,
"Union,IN",0.772,5,,
"Johnson,KS",0.45,5,,
"Leavenworth,KS",0.592,5,,
"Linn,KS",0.804,5,,
"Miami,KS",0.687,5,,
"Wyandotte,KS",0.336,5,,
"Boone,KY",0.669,5,,
"Bracken,KY",0.801,5,,
"Campbell,KY",0.583,5,,
"Gallatin,KY",0.768,5,,
"Grant,KY",0.786,5,,
"Kenton,KY",0.586,5,,
"Pendleton,KY",0.796,5,,
"Jefferson Parish,LA",0.547,5,,
"Orleans Parish,LA",0.15,5,,
"Plaquemines Parish,LA",0.673,5,,
"St. Bernard Parish,LA",0.633,5,,
"St. Charles Parish,LA",0.639,5,,
"St. James Parish,LA",0.473,5,,
"St. John the Baptist Parish,LA",0.352,5,,
"St. Tammany Parish,LA",0.711,5,,
"Essex,MA",0.345,5,,
"Middlesex,MA",0.264,5,,
"Norfolk,MA",0.309,5,,
"Plymouth,MA",0.403,5,,
"Suffolk,MA",0.176,5,,
"Anne Arundel,MD",0.416,5,,
"Baltimore city,MD",0.107,5,,
"Baltimore,MD",0.355,5,,
"Calvert,MD",0.519,5,,
"Carroll,MD",0.606,5,,
"Cecil,MD",0.623,5,,
"Charles,MD",0.287,5,,
"Frederick,MD",0.44,5,,
"Harford,MD",0.55,5,,
"Howard,MD",0.267,5,,
"Montgomery,MD",0.191,5,,
"Prince George's,MD",0.088,5,,
"Queen Anne's,MD",0.623,5,,
"Lapeer,MI",0.674,5,,
"Livingston,MI",0.605,5,,
"Macomb,MI",0.534,5,,
"Oakland,MI",0.423,5,,
"St. Clair,MI",0.643,5,,
"Wayne,MI",0.303,5,,
"Anoka,MN",0.498,5,,
"Carver,MN",0.514,5,,
"Chisago,MN",0.635,5,,
"Dakota,MN",0.42,5,,
"Hennepin,MN",0.273,5,,
"Isanti,MN",0.683,5,,
"Le Sueur,MN",0.642,5,,
"Mille Lacs,MN",0.679,5,,
"Ramsey,MN",0.262,5,,
"Scott,MN",0.523,5,,
"Sherburne,MN",0.653,5,,
"Sibley,MN",0.695,5,,
"Washington,MN",0.444,5,,
"Wright,MN",0.632,5,,
"Bates,MO",0.784,5,,
"Caldwell,MO",0.796,5,,
"Cass,MO",0.648,5,,
"Clay,MO",0.511,5,,
"Clinton,MO",0.716,5,,
"Jackson,MO",0.38,5,,
"Lafayette,MO",0.72,5,,
"Platte,MO",0.505,5,,
"Ray,MO",0.716,5,,
"Cabarrus,NC",0.541,5,,
"Cleveland,NC",0.66,5,,
"Gaston,NC",0.634,5,,
"Iredell,NC",0.656,5,,
"Lincoln,NC",0.725,5,,
"Mecklenburg,NC",0.317,5,,
"Rowan,NC",0.673,5,,
"Stanly,NC",0.751,5,,
"Union,NC",0.615,5,,
"Rockingham,NH",0.482,5,,
"Strafford,NH",0.414,5,,
"Bergen,NJ",0.412,5,,
"Burlington,NJ",0.395,5,,
"Camden,NJ",0.326,5,,
"Essex,NJ",0.219,5,,
"Gloucester,NJ",0.483,5,,
"Hudson,NJ",0.263,5,,
"Hunterdon,NJ",0.512,5,,
"Middlesex,NJ",0.383,5,,
"Monmouth,NJ",0.507,5,,
"Morris,NJ",0.472,5,,
"Ocean,NJ",0.638,5,,
"Passaic,NJ",0.412,5,,
"Salem,NJ",0.555,5,,
"Somerset,NJ",0.387,5,,
"Sussex,NJ",0.588,5,,
"Union,NJ",0.316,5,,
"Clark,NV",0.443,5,,
"Bronx,NY",0.169,5,,
"Erie,NY",0.518,5,,
"Kings,NY",0.252,5,,
"Nassau,NY",0.449,5,,
"New York,NY",0.145,5,,
"Niagara,NY",0.539,5,,
"Putnam,NY",0.533,5,,
"Queens,NY",0.303,5,,
"Richmond,NY",0.616,5,,
"Rockland,NY",0.487,5,,
"Suffolk,NY",0.556,5,,
"Westchester,NY",0.359,5,,
"Brown,OH",0.781,5,,
"Butler,OH",0.613,5,,
"Clermont,OH",0.675,5,,
"Cuyahoga,OH",0.324,5,,
"Geauga,OH",0.61,5,,
"Hamilton,OH",0.413,5,,
"Lake,OH",0.562,5,,
"Lorain,OH",0.505,5,,
"Medina,OH",0.611,5,,
"Warren,OH",0.647,5,,
"Allegheny,PA",0.392,5,,
"Armstrong,PA",0.756,5,,
"Beaver,PA",0.582,5,,
"Bucks,PA",0.473,5,,
"Butler,PA",0.656,5,,
"Chester,PA",0.409,5,,
"Delaware,PA",0.361,5,,
"Fayette,PA",0.663,5,,
"Montgomery,PA",0.364,5,,
"Philadelphia,PA",0.179,5,,
"Pike,PA",0.59,5,,
"Washington,PA",0.608,5,,
"Westmoreland,PA",0.636,5,,
"Chester,SC",0.55,5,,
"Lancaster,SC",0.608,5,,
"York,SC",0.574,5,,
"Cannon,TN",0.792,5,,
"Cheatham,TN",0.713,5,,
"Davidson,TN",0.324,5,,
"Dickson,TN",0.725,5,,
"Hickman,TN",0.771,5,,
"Macon,TN",0.853,5,,
"Maury,TN",0.675,5,,
"Robertson,TN",0.728,5,,
"Rutherford,TN",0.567,5,,
"Smith,TN",0.788,5,,
"Sumner,TN",0.685,5,,
"Trousdale,TN",0.788,5,,
"Williamson,TN",0.622,5,,
"Wilson,TN",0.677,5,,
"Austin,TX",0.787,5,,
"Brazoria,TX",0.584,5,,
"Chambers,TX",0.802,5,,
"Collin,TX",0.514,5,,
"Dallas,TX",0.334,5,,
"Denton,TX",0.533,5,,
"Ellis,TX",0.664,5,,
"Fort Bend,TX",0.441,5,,
"Galveston,TX",0.606,5,,
"Harris,TX",0.427,5,,
"Hunt,TX",0.756,5,,
"Johnson,TX",0.759,5,,
"Kaufman,TX",0.664,5,,
"Liberty,TX",0.794,5,,
"Montgomery,TX",0.712,5,,
"Parker,TX",0.815,5,,
"Rockwall,TX",0.682,5,,
"Tarrant,TX",0.491,5,,
