Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,2.45381620413061,2.96290228917222,1.99212660583766
2020-03-27,2.06125921000303,2.47377424526014,1.68590581835976
2020-03-28,1.34224437895584,1.64410535733446,1.07062668373537
2020-03-29,1.32418334086291,1.61310022718258,1.06342795664948
2020-03-30,1.22389619666182,1.49576931450399,0.978958978575498
2020-03-31,1.30272701658604,1.57742680576536,1.05398395065881
2020-04-01,1.0844595280902,1.32988214150038,0.863765960720445
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,1.2848011858288,1.58519410237581,1.01558202152551
2020-04-15,1.43478486701119,1.74245007350203,1.15663910657335
2020-04-16,1.04875674797771,1.30264328760324,0.822057876117759
2020-04-17,1.05759753165674,1.31001396087953,0.831867548425508
2020-04-18,1.01616099599501,1.26394676146162,0.79508339641228
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,2.01487445343493,2.50264199700392,1.57933993466887
2020-05-22,1.99130156835327,2.42835104679458,1.59708208689627
2020-05-23,1.51296620485535,1.86203722230369,1.19968810512921
2020-05-24,1.38061953309026,1.6970869316022,1.09641119563784
2020-05-25,1.28000794904914,1.57533092168571,1.01496669655744
2020-05-26,1.25134332782786,1.53633836055906,0.995230484034002
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,1.90182285447943,2.33776115374461,1.5103218662305
2020-06-27,1.81425138883907,2.20551722526976,1.46072204682335
2020-06-28,1.92345982316302,2.29394036944104,1.58520313127793
