Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,1.33279171117301,1.65778628945553,1.04282743050174
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,1.29062943299641,1.59037452548298,1.02180347623174
2020-04-10,1.18492611438009,1.4657715246979,0.933587006450908
2020-04-11,1.1397025350571,1.40982927309916,0.897955969605003
2020-04-12,1.15816695824051,1.42714800976256,0.916931687540541
2020-04-13,1.14281719440558,1.40648756558003,0.906182960376554
2020-04-14,1.08664458889604,1.34070750610757,0.858947454628086
2020-04-15,1.05756003752214,1.30650325581827,0.834609843220046
2020-04-16,,,
2020-04-17,,,
2020-04-18,1.06875723806399,1.32936833352564,0.836236716553034
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,1.24688267818596,1.54447572645492,0.980752323666961
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,1.50705622070041,1.87188942881332,1.18129150383819
2020-05-22,,,
2020-05-23,1.29894334206397,1.61115561164556,1.01994990592993
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,1.29698000760628,1.5942754456988,1.02998933940551
2020-06-18,1.66608960273509,1.99152902920727,1.36932302805947
2020-06-19,1.5021159047267,1.79278381375401,1.23683758921755
2020-06-20,1.49643998299412,1.77106592233429,1.24466135532105
2020-06-21,1.49716154640987,1.75904194503404,1.25612363760194
2020-06-22,1.53413198840997,1.78657429301482,1.30067495424746
2020-06-23,1.40747772344867,1.63752562580528,1.19462307084312
2020-06-24,1.17442260412343,1.37678198842036,0.987945863977552
2020-06-25,1.13639084667498,1.33219715289424,0.955952851122491
2020-06-26,1.42718726975503,1.64370883285396,1.22576314314807
