Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,1.34033219351547,1.66716548062128,1.04872739353423
2020-04-13,,,
2020-04-14,1.19361424098362,1.48681950751756,0.932222625079178
2020-04-15,1.20486559535141,1.49446546463263,0.946078640107734
2020-04-16,,,
2020-04-17,1.1866411332744,1.46985635330314,0.933368527110208
2020-04-18,1.14531004721324,1.42059522527717,0.899314725351751
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,1.18717966379669,1.47666747419253,0.928894971331586
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,1.29899397020143,1.59296759181951,1.03464144634062
2020-04-28,1.20126783417445,1.47662400384006,0.953980058068886
2020-04-29,1.0064858776447,1.25372401362259,0.786073820793105
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,1.72993690657724,2.13995811756707,1.36299352200987
2020-05-21,1.6251339536414,1.99764926449692,1.29059094013784
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,1.84604708596293,2.24190047900696,1.48817450008961
2020-06-19,1.83150938372814,2.19623723139766,1.49948981654699
2020-06-20,1.63008448369614,1.94699268901609,1.34097692716972
2020-06-21,1.54633077567891,1.83625512301361,1.28100683444238
2020-06-22,1.60967583716551,1.89016801662374,1.35142901500693
2020-06-23,1.46285758197074,1.71585545202547,1.2297853424333
2020-06-24,1.27999194851831,1.50649430396595,1.07171051007114
2020-06-25,1.23396980756021,1.45064204214588,1.03460326205607
2020-06-26,1.15248683277484,1.35803808066069,0.963591776325588
2020-06-27,1.15784381544811,1.36114911940069,0.970776579033612
