Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,2.6027825720028,3.1371064463375,2.11772778416491
2020-04-08,2.00938206056741,2.4197494805033,1.63667468980715
2020-04-09,1.68185210237534,2.02012197179776,1.37419504224678
2020-04-10,1.5242301763164,1.82628340206309,1.24914341325431
2020-04-11,1.4250654415573,1.70342530841224,1.17123048028913
2020-04-12,1.28498827451026,1.53963147695657,1.05307890117531
2020-04-13,1.03885593642734,1.26289811679868,0.836421997055085
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,1.29247238658421,1.60763529966239,1.01128004218291
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,1.40179470832784,1.72735762650753,1.10981407157838
2020-05-31,1.54819076103972,1.87646127418321,1.25109572754849
2020-06-01,1.27680464511418,1.5604307080837,1.02127890799125
2020-06-02,1.35574815368492,1.63853249360138,1.09942042237383
2020-06-03,1.52723125145586,1.8174062901416,1.26198073370472
2020-06-04,1.38700340806164,1.65053505541883,1.14610775341849
2020-06-05,1.47066507213595,1.73090819577353,1.23135713191564
2020-06-06,1.3419829711069,1.58038790152403,1.1228260543183
2020-06-07,1.27328323868906,1.4977234862393,1.06683321713995
2020-06-08,1.31210045181097,1.53410344093497,1.1072304564302
2020-06-09,1.22472773608824,1.43344597329682,1.03222516004403
2020-06-10,1.07477930484205,1.26647106307259,0.898620678396125
2020-06-11,1.15117124889072,1.34806959176923,0.969621944983956
2020-06-12,1.1116271652458,1.30316655484635,0.935121187495689
2020-06-13,1.18201274582264,1.3771757506227,1.00157363614351
2020-06-14,1.1235980925631,1.31104317767474,0.95043091976837
2020-06-15,1.13293947761592,1.31873702094758,0.961071347266735
2020-06-16,1.12214903912728,1.30495076804225,0.952967256084601
2020-06-17,1.09747587114373,1.27625826073039,0.932013959889225
