Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,1.30318393321626,1.60994552674885,1.028452380573
2020-05-28,1.42845596080563,1.74012356430515,1.14716743270112
2020-05-29,1.74706553576099,2.07606801978908,1.44609232185686
2020-05-30,1.42188140970366,1.69961933551856,1.16861359333892
2020-05-31,1.4623203779372,1.73068470391822,1.21628243310848
2020-06-01,1.33808226913227,1.58468288825581,1.11207718756703
2020-06-02,1.3448378799897,1.58374998849194,1.1252147329717
2020-06-03,1.25592520463199,1.47992515475882,1.05007637783559
2020-06-04,1.14213249633745,1.35086236416173,0.950701030710702
2020-06-05,1.10586684338818,1.30881498972344,0.919802825197271
2020-06-06,1.1250320890886,1.32811712525989,0.938587322073004
2020-06-07,1.09506216699084,1.29354479365851,0.912903989179578
2020-06-08,1.17084164616767,1.37409640197378,0.983650467541637
2020-06-09,1.16257714053681,1.36215692646178,0.978608353658224
2020-06-10,1.20633348120655,1.40619470682116,1.02159857303655
2020-06-11,1.16178047402883,1.35426030904285,0.983868302538112
2020-06-12,1.16263502028247,1.35203204723177,0.987349332819577
2020-06-13,1.32482399927707,1.52353300134823,1.13982337945162
2020-06-14,1.3111066980481,1.50294112371225,1.13220302931889
2020-06-15,1.30800827819083,1.49349331378595,1.13466487473583
2020-06-16,1.36636738349935,1.55016279290479,1.19402105825784
2020-06-17,1.25886922487382,1.42937457025286,1.09905407355243
2020-06-18,1.23237955681786,1.39666032224358,1.07824563020105
2020-06-19,1.26425716106395,1.42705213644762,1.11119466044747
2020-06-20,1.1021076219454,1.25069551366097,0.962795555778199
