Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,1.4674442738591,1.82015720011965,1.15225937930577
2020-04-22,1.47444134864584,1.81241470530258,1.17091925995586
2020-04-23,1.50195603851688,1.82774963501005,1.20775002147527
2020-04-24,1.50645959351225,1.81734735995068,1.22437602149804
2020-04-25,1.32952876720369,1.60834997335331,1.07692256998396
2020-04-26,1.18219057939044,1.4371446550556,0.951826110474961
2020-04-27,1.12127595894271,1.36592150670479,0.900476667439115
2020-04-28,1.21461408559863,1.46660652441003,0.986082426089249
2020-04-29,1.30617657650679,1.56253122870114,1.07250688292472
2020-04-30,1.13293928435153,1.36551979811103,0.921804620198051
2020-05-01,1.01308603790206,1.23032510433675,0.816690332259993
2020-05-02,1.08220517046326,1.3067271181607,0.878586468467301
2020-05-03,1.01927694305804,1.23661126094298,0.822688042500117
2020-05-04,1.07131340556735,1.29357567059551,0.869744007244185
2020-05-05,1.2684165631984201,1.50834189777958,1.04901505657855
2020-05-06,1.09558576118078,1.31376134912096,0.896975853162385
2020-05-07,1.45148264348365,1.69795182008152,1.22409802131034
2020-05-08,1.41112583833717,1.64491636470508,1.19502953808295
2020-05-09,1.33713586214373,1.55495964389752,1.13554140237062
2020-05-10,1.27645996671895,1.48235784777711,1.08576277586552
2020-05-11,1.188900978057,1.38257681497305,1.0096552804576
2020-05-12,1.05259452470746,1.23197780085832,0.887147828625108
2020-05-13,1.08862584921431,1.27023666389202,0.920848543621275
2020-05-14,0.839437400058952,0.998931111181067,0.693643366068978
2020-05-15,0.858721754149306,1.02261681755204,0.708962877515786
2020-05-16,0.85542254352369,1.02251332993681,0.703053296560565
2020-05-17,1.14965527732147,1.34557965774457,0.968952582407361
2020-05-18,1.15625914055504,1.35050930100904,0.976901732304971
2020-05-19,1.11344175439423,1.30049864489669,0.940726123182278
2020-05-20,1.00573136466917,1.18165181314714,0.843812041037255
2020-05-21,1.00422104510492,1.17987731161103,0.842544877777866
2020-05-22,0.941272736499023,1.11188066249868,0.784696670160029
2020-05-23,0.938691487248699,1.11024159259069,0.78135852653564
2020-05-24,0.74043707057176,0.89487874005308,0.600444584531911
2020-05-25,0.72385742502927,0.880871417317248,0.582066850297035
2020-05-26,0.773021147809207,0.940699384356482,0.62160028917312
2020-05-27,0.822498703071621,0.99988075993553,0.662224648938605
