Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,1.3237460356417,1.64891751556953,1.03385663635107
2020-04-24,,,
2020-04-25,1.36027531005326,1.6720793793967,1.08025494594725
2020-04-26,1.4017773208218,1.70762404638281,1.12574229410535
2020-04-27,1.50144217042271,1.80495273744436,1.22552576291348
2020-04-28,1.38094430199103,1.65869277229612,1.12833156419333
2020-04-29,1.24307884585214,1.49694746982362,1.01250813589247
2020-04-30,1.09417489350434,1.32747925278195,0.88314035495513
2020-05-01,1.17147080503704,1.41071522809988,0.954182210580066
2020-05-02,1.04179644175134,1.26519196587653,0.839834969913422
2020-05-03,1.22461415796971,1.4649610928215,1.00553565036523
2020-05-04,1.29242297676652,1.53474169273134,1.07066527567583
2020-05-05,1.28211012846767,1.51642154024293,1.0672171788541
2020-05-06,1.41734690342348,1.65630390474011,1.19677047146078
2020-05-07,1.35796795808156,1.58295146776256,1.15001212336239
2020-05-08,1.24725662398427,1.45533113531195,1.05503139260089
2020-05-09,1.36512099503651,1.57718155579842,1.16817661643438
2020-05-10,1.16079999334458,1.35052917987137,0.985250728719292
2020-05-11,1.0339074315378,1.21010605118911,0.87139797078371
2020-05-12,1.01113653968909,1.18536084948457,0.850586627671402
2020-05-13,0.958183393685145,1.12840585568102,0.801704121742621
2020-05-14,1.05848747935518,1.23822406707606,0.892668220923885
2020-05-15,1.19233062249533,1.38219959486362,1.01631220493711
2020-05-16,1.11515952429608,1.29562778794435,0.948055119976515
2020-05-17,1.2167594947624,1.40243205433338,1.04410375151847
2020-05-18,1.14478737962319,1.32155446841068,0.980550200266905
2020-05-19,1.19319152512946,1.3706597491416601,1.02787058240975
2020-05-20,1.19651310275957,1.37111179189867,1.03365387406246
2020-05-21,1.068177181763,1.23023257418647,0.91742145372527
2020-05-22,0.917735532986729,1.06723763677782,0.779372331291999
2020-05-23,0.893954499084992,1.0430891213988,0.756179636135065
2020-05-24,0.796648372710597,0.939874747834829,0.66511387551003
2020-05-25,0.806980529543319,0.954459862990617,0.671723485375404
2020-05-26,0.797528845440951,0.947717241848091,0.660135705412543
2020-05-27,0.762352159016082,0.912694691455929,0.625372252323028
2020-05-28,0.764253679779302,0.918744523494512,0.623808623749573
2020-05-29,0.842803477595499,1.00901171570734,0.691368028300501
