Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,1.6048581911817,1.99336762726829,1.25795263644975
2020-04-02,1.97117977381261,2.37584223969937,1.60383053870486
2020-04-03,1.63739534486666,1.9771009774158,1.32931668854934
2020-04-04,1.25000294881616,1.52938178097065,0.9984579584213
2020-04-05,1.93849865781271,2.2750164718261,1.6285764324557
2020-04-06,1.98340437529856,2.29824697512879,1.69146131076432
2020-04-07,1.69447323234311,1.95930304348584,1.44862852247583
2020-04-08,1.41065078633419,1.63672596084758,1.20116572407215
2020-04-09,1.0298710938688,1.21653768322044,0.858557128785757
2020-04-10,1.06005133368467,1.24911629153526,0.886306653206753
2020-04-11,1.12259437088916,1.31747353791506,0.943116843681697
2020-04-12,0.816016627544382,0.98181325154219,0.66536403932562
2020-04-13,0.73798868657419,0.899006716996781,0.592665514491825
2020-04-14,0.700581841964781,0.863290024224813,0.554657241809888
2020-04-15,0.761097785934526,0.936697992774072,0.603503209586313
2020-04-16,0.845388942889107,1.03551075484222,0.674315329296448
2020-04-17,0.82227393598745,1.01324476827323,0.651002018647647
2020-04-18,0.829175430976885,1.02435829813883,0.654372283271006
2020-04-19,0.837056602184351,1.03683660568886,0.658398117156807
2020-04-20,0.842456517102214,1.04640120715975,0.660351427064507
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
