Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,2.37920522036436,2.92456972417477,1.88943237279038
2020-03-25,1.97123215436658,2.41180754477975,1.57455023149128
2020-03-26,1.90354636706952,2.29638085192316,1.54710855683543
2020-03-27,1.63795551406691,1.97421054576963,1.33270598115941
2020-03-28,1.49576454074753,1.79812739749701,1.22089149755429
2020-03-29,1.42280469569673,1.7047586647366,1.16602278421756
2020-03-30,1.3082697828242,1.56879939097136,1.07110410357156
2020-03-31,0.993128898191115,1.21509572796402,0.793276090329391
2020-04-01,1.1383732175337,1.37581711006189,0.923143992664309
2020-04-02,0.999205998732132,1.2211670204126,0.79923582291808
2020-04-03,1.18574795323616,1.42666584745906,0.966835749611472
2020-04-04,1.04311851380152,1.26679753378708,0.840900746581479
2020-04-05,0.907512495107984,1.11553368527691,0.720695916557464
2020-04-06,1.13545554473404,1.36977927947788,0.922842237811435
2020-04-07,1.2765836857183,1.52246842714054,1.05208563837387
2020-04-08,1.04846938473238,1.26599226744091,0.851198126907653
2020-04-09,1.10571144925325,1.32699492260749,0.904362419183716
2020-04-10,0.946292858704693,1.1503726621692,0.761895980879446
2020-04-11,0.965978569482295,1.1731162406961,0.778715064023808
2020-04-12,1.14032942732851,1.3663059151913,0.934527484903815
2020-04-13,0.90701434177228,1.10727998478191,0.726481305757746
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,1.38423100391523,1.68448852515947,1.11308519146552
2020-05-03,1.52482494511743,1.82847947468004,1.24840172675839
2020-05-04,1.27019204771072,1.53371508408627,1.03120330223121
2020-05-05,1.14724201609759,1.3904973918571,0.927088328469222
2020-05-06,1.20288244608509,1.44854193293585,0.979767508108866
2020-05-07,1.09526369364516,1.32621668833207,0.886133733425222
2020-05-08,1.04146290841998,1.26478691199625,0.839566094973859
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,1.51074630097618,1.85050213355363,1.20503041587542
2020-05-21,1.47662969743491,1.79692968457102,1.187384652449
2020-05-22,1.35796226538699,1.64915417184847,1.09470924701723
2020-05-23,1.27617540081151,1.54828663821945,1.03003825361783
2020-05-24,1.53605064035062,1.82531539082729,1.27142971544385
2020-05-25,1.48067877007879,1.75127949719219,1.23250396725377
2020-05-26,1.23695648400443,1.47304117662196,1.02123443830807
2020-05-27,1.09688252392101,1.31424923779634,0.89892169907104
