Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,2.26200721214095,2.79813713275454,1.7822044059328
2020-05-04,1.86790337739002,2.30462849062242,1.47650010674637
2020-05-05,1.68321088552298,2.06413613330333,1.34066807471301
2020-05-06,1.6690343224767,2.02491251482916,1.3471261063792
2020-05-07,1.51452505918747,1.83388568437499,1.22534121495188
2020-05-08,1.2752534875143,1.55514523292154,1.02279058758807
2020-05-09,1.19984858013838,1.46477101449161,0.961029526288742
2020-05-10,1.16548104610929,1.42281524730675,0.933502540388668
2020-05-11,1.24170046543788,1.50353187887822,1.00460982649058
2020-05-12,1.24415956958086,1.5009165322938,1.01119150521692
2020-05-13,1.26162602266509,1.51411231875796,1.03188509328821
2020-05-14,1.19186726183475,1.43158678441363,0.973841921008602
2020-05-15,1.27125560826979,1.51388660895389,1.04955188306586
2020-05-16,1.19206997641853,1.42167640268581,0.982434380258382
2020-05-17,1.11733458355607,1.33558498584721,0.918313140421072
2020-05-18,1.11554831337409,1.33141321078118,0.918539030328921
2020-05-19,1.06681765782411,1.27619491549756,0.875968304302265
2020-05-20,0.968568573663692,1.16740551010459,0.788066049534918
2020-05-21,1.01682838270229,1.22134244416817,0.830822472648939
2020-05-22,0.873507087480542,1.06409319448335,0.701497918372041
2020-05-23,0.865711308432475,1.05801816682187,0.692457301980234
2020-05-24,0.823268920155473,1.01447083474408,0.651789756983446
2020-05-25,0.812719339870922,1.00669077757763,0.639255316488253
2020-05-26,0.91561231373764,1.12549015482936,0.727128341722645
2020-05-27,0.912328845234968,1.12421467946565,0.722299338364905
2020-05-28,,,
2020-05-29,0.938165149586519,1.15900353544171,0.740385264788833
2020-05-30,0.968486942113447,1.19492401299106,0.765548738078217
2020-05-31,0.972569063734287,1.19996055497896,0.768775485822174
2020-06-01,0.952339176777631,1.17805796516281,0.750334953702061
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
