Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,4.64649232982704,5.71156732303293,3.6899856106372
2020-03-20,2.86586323004615,3.5144329787326,2.28264406561452
2020-03-21,2.18618810139263,2.66040043910299,1.75795340122816
2020-03-22,1.9692520191133,2.37351873724502,1.60226204053997
2020-03-23,1.67672899310926,2.01916011376914,1.36572330297049
2020-03-24,1.67261038326921,1.99329916848239,1.37969730930342
2020-03-25,1.78955504814094,2.10139186902372,1.5024494747144
2020-03-26,0.976592538753838,1.19353026525105,0.781147973848209
2020-03-27,1.39830862822526,1.65492554896904,1.16304077152609
2020-03-28,1.32559635363957,1.56989589265626,1.1017001710669
2020-03-29,1.43114934990157,1.67593563663241,1.20544516513182
2020-03-30,1.42964661190606,1.66489578747024,1.21208967388667
2020-03-31,1.47215607523208,1.70084367433711,1.25976987320595
2020-04-01,1.41215947786622,1.626401143254,1.21285627814824
2020-04-02,1.72039568926869,1.94670949769893,1.50788680158949
2020-04-03,1.41887843223254,1.61195020732886,1.23796463860893
2020-04-04,1.41433962822479,1.59839524643749,1.24139766720739
2020-04-05,1.28808823891453,1.45753306882273,1.12897937774274
2020-04-06,1.09495832631335,1.2471809737206,0.952516251324293
2020-04-07,0.986406585618339,1.12996233901311,0.85247898687445
2020-04-08,0.837439572630242,0.970795026290473,0.713812127696797
2020-04-09,1.24476323542128,1.40959102267327,1.09005233047264
2020-04-10,1.07608904833603,1.22716530611723,0.934809598108748
2020-04-11,0.902338047684598,1.0392336385217,0.77498779939497
2020-04-12,1.26751682365134,1.43073153697047,1.11405967855733
2020-04-13,1.18397956235878,1.33871955585003,1.03862092334568
2020-04-14,1.28797634336114,1.44547424500335,1.13944599826477
2020-04-15,1.22203501524797,1.37146939859431,1.08110907086225
2020-04-16,0.746143926319072,0.861013384153046,0.639394236170754
2020-04-17,0.889395214220668,1.01747593134287,0.769820424799292
2020-04-18,0.928221962997894,1.06189407272869,0.803427109161149
2020-04-19,0.49525530824573,0.59486570098742,0.404659475275191
2020-04-20,1.94652063590594,2.14979364827844,1.75321137560874
2020-04-21,1.57109290820895,1.74165366531207,1.40920709580106
2020-04-22,1.44194970300656,1.59379685853215,1.2976051676224
2020-04-23,1.24421027776111,1.37948630796409,1.11582436109188
2020-04-24,1.14910077181909,1.27595097190469,1.02880562123778
2020-04-25,1.20205489787871,1.33008853089106,1.08041620676119
2020-04-26,1.21476958188844,1.34127697615815,1.0944468649696
2020-04-27,0.373198251175002,0.443169864687551,0.309163807560661
2020-04-28,0.389032402128307,0.465022601947027,0.319737321462825
2020-04-29,0.427250356471067,0.514058228165949,0.348371605907551
2020-04-30,0.478075747230649,0.576219667600137,0.388981509149531
2020-05-01,0.508200027268827,0.615361726208269,0.411164169965103
2020-05-02,0.573535021528837,0.693163967392554,0.465098266150368
2020-05-03,0.54706222407097,0.669332019851475,0.436973874255755
2020-05-04,0.547332213654068,0.6753012113427,0.432643402045318
