Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,1.59816712423666,1.97960110713292,1.25705982457275
2020-04-04,1.43085705420338,1.7723592017968,1.12545984100674
2020-04-05,1.31614070227189,1.63026353868002,1.0352281530639
2020-04-06,1.24435683705034,1.54134704370786,0.978765589384488
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,2.93868231416352,3.45271054158386,2.46556447236792
2020-04-14,2.29889705746847,2.68926153573576,1.93875920726779
2020-04-15,1.77872916814723,2.07861325943655,1.50191215715986
2020-04-16,1.5498756302358,1.80933912271557,1.31023989971617
2020-04-17,1.51346172265768,1.7567975167488,1.28803635499543
2020-04-18,1.31222051402461,1.52888222040839,1.11190465271932
2020-04-19,1.30186628951301,1.51118157156905,1.10795739669661
2020-04-20,0.634547836062688,0.779066911912251,0.50467472514008
2020-04-21,0.655353835263874,0.807557938889908,0.518849802983141
2020-04-22,0.826438510157301,1.00570366013498,0.664554156575769
2020-04-23,0.828333451706306,1.01233729022022,0.662559841279078
2020-04-24,0.757701089693182,0.937287707669323,0.596982278917299
2020-04-25,0.912131342519414,1.11352680167165,0.730579813590685
2020-04-26,0.966681512201425,1.176367174396,0.777326091563827
2020-04-27,0.830290985049352,1.02573644687366,0.655252661099679
2020-04-28,,,
2020-04-29,0.840664576162392,1.04565641931131,0.657768256302927
2020-04-30,0.957090490531041,1.17937209225788,0.757737554475622
2020-05-01,0.9788634778668,1.20470650665716,0.776177859871285
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
