Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,1.6657097199987,2.06895029761268,1.30565052123979
2020-04-02,1.63763104838447,2.01301095949191,1.30051543726456
2020-04-03,1.49870267464518,1.83787211122526,1.19370831466523
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,1.55516178913218,1.90935186242357,1.23686632255901
2020-06-09,1.68596312273415,2.03574497038534,1.3687463582668
2020-06-10,1.66773402104204,1.9934946538586,1.370674539918
2020-06-11,1.59032613782455,1.88849925499327,1.3174533441276
2020-06-12,1.51893799236566,1.79424912223377,1.26627016652164
2020-06-13,1.68357716755256,1.95875267434634,1.42896764360501
2020-06-14,1.95212447935398,2.22965260969475,1.69280624470871
2020-06-15,2.03327406004875,2.29239665328792,1.78949225615644
2020-06-16,1.93481092346764,2.16415093357684,1.71814984327905
2020-06-17,1.85516470121752,2.06059327150335,1.66038304880848
2020-06-18,1.89617328953394,2.08767165210926,1.71376676950104
2020-06-19,2.04824586278103,2.23125392556446,1.87296578420135
2020-06-20,1.83876481027467,1.99645741704523,1.68747426660254
2020-06-21,1.84567810033774,1.99126663241966,1.70554336933498
2020-06-22,2.17722593026192,2.32332059991721,2.03581229937562
2020-06-23,1.95415011205702,2.07889243595512,1.83321589940093
2020-06-24,1.73827054984692,1.84559432937178,1.6341188203818
2020-06-25,1.51528419458998,1.60879472669899,1.42453613895669
2020-06-26,1.38997197340097,1.4752922577146,1.30715916691911
