Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,2.38539426073437,2.95471546616486,1.87626390598407
2020-06-23,1.74931622788809,2.17587822178352,1.36873221207086
2020-06-24,2.90918984331878,3.41232756705602,2.44567828868855
2020-06-25,2.55390459920279,2.95803386903013,2.17908298878085
2020-06-26,2.03067960128828,2.34237923352634,1.74095222410253
2020-06-27,1.73142478160651,1.99259850989773,1.48836454889796
2020-06-28,1.31321890657281,1.52643956918209,1.11583580106437
2020-06-29,1.2616544535897,1.46450443898196,1.07373498737173
2020-06-30,1.31445715772787,1.51742302653741,1.12587826542651
2020-07-01,0.915873665544587,1.08187794942244,0.763522609093272
2020-07-02,0.783044965570228,0.938219204625643,0.6417242462604
2020-07-03,0.800183597802955,0.961937531637267,0.653135787369175
2020-07-04,1.03271002438146,1.22066207634002,0.860275029502784
2020-07-05,1.09325781296763,1.28671642810607,0.915361920620734
2020-07-06,1.17481306096767,1.37288017176346,0.991981269692361
2020-07-07,1.08096402336339,1.2679142766808,0.908737616028988
2020-07-08,1.22037887703377,1.41659253654646,1.03860727823873
