Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-11,,,
2020-07-12,,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,,,
2020-07-19,,,
2020-07-20,,,
2020-07-21,,,
2020-07-22,,,
2020-07-23,,,
2020-07-24,,,
2020-07-25,,,
2020-07-26,1.49817517611706,1.85827454059209,1.17638974731501
2020-07-27,1.58116209750701,1.93455584003121,1.26297612442046
2020-07-28,1.41347303261676,1.72938784346446,1.1290320552977
2020-07-29,1.37844141071595,1.67744309467718,1.10842967483824
2020-07-30,1.40232059011148,1.69325594948817,1.13847163971469
2020-07-31,1.35691436096001,1.63260950307778,1.10640149937164
