Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,1.38685121885884,1.7225847982713,1.08706997086292
2020-04-27,1.47901928539208,1.81373419996729,1.17803060499691
2020-04-28,1.44627937790621,1.76183578291331,1.16148110018422
2020-04-29,1.25263779774048,1.53434690906797,0.999152965244478
2020-04-30,1.07847839807066,1.33409408967309,0.84971831319922
2020-05-01,1.13769547667594,1.39847950817268,0.903494429824552
2020-05-02,1.06392326198405,1.31436434472295,0.839631600455669
2020-05-03,1.06692328595375,1.3163752643101,0.843358583034446
2020-05-04,1.04607957650695,1.29232036391383,0.825549642921228
2020-05-05,0.99993265713762,1.24027512181943,0.785162205738107
2020-05-06,1.09851052344112,1.35031252917782,0.872375920780255
2020-05-07,1.21814137665445,1.48084868808857,0.98077144985156
2020-05-08,1.43981765267166,1.71843049816898,1.18554140119254
2020-05-09,1.33807543226979,1.59580419329652,1.10276354077003
2020-05-10,1.15766487846837,1.38934567137388,0.946855177092305
2020-05-11,1.20772822896064,1.44035061526291,0.995338996544715
2020-05-12,1.14780307149328,1.37094991761433,0.944231695474467
2020-05-13,1.13633038755498,1.35520072613132,0.93649706992905
2020-05-14,1.59283009410981,1.84728476682785,1.35699249115757
2020-05-15,1.55344498143321,1.79189137598388,1.33180709242922
2020-05-16,1.56816327809469,1.79399255400222,1.35733147828473
2020-05-17,1.51534553126655,1.72550043505456,1.31866272775689
2020-05-18,1.3531925516865,1.54223709173729,1.17635030436853
2020-05-19,1.32966399299638,1.51059604579075,1.16012546752935
2020-05-20,1.28818440115535,1.46106943915826,1.12604579998227
2020-05-21,1.00632922725044,1.15559061978003,0.867258000606647
2020-05-22,0.816579663489536,0.951405739898993,0.691925417600173
2020-05-23,0.737170318888758,0.868647984960798,0.616346527206959
2020-05-24,0.672619144181405,0.802774746419382,0.553832522599022
2020-05-25,0.654155156406981,0.787750438777864,0.532820118537247
2020-05-26,0.686411326444439,0.828819080668078,0.557261894210518
2020-05-27,0.750370284163104,0.904413407754151,0.610531212355995
2020-05-28,0.656199252994877,0.804702845260259,0.522659042136257
2020-05-29,0.701553267454569,0.86032086724538,0.558783261489371
2020-05-30,0.694253219289487,0.857676216178926,0.54789378375512
