Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,1.34004447850975,1.66444692573994,1.0503809582453
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,1.29718831534292,1.59647513589827,1.02858965853654
2020-04-25,1.39205357231472,1.69400790932941,1.11937546022851
2020-04-26,1.23360743543153,1.50763778259562,0.986726716078586
2020-04-27,1.43522318042584,1.72245107393969,1.17387036952095
2020-04-28,1.38289704300367,1.6543091145843,1.13550236903209
2020-04-29,1.28108811562015,1.5325188212514,1.05190664596835
2020-04-30,1.28157268575824,1.5261727969964,1.05806968863958
2020-05-01,1.21940699668433,1.45214220581305,1.00674553667112
2020-05-02,1.19125274827027,1.41658228313441,0.98519847925591
2020-05-03,1.31987809024807,1.55253156145564,1.10587318395994
2020-05-04,0.94067728370184,1.1327877426735,0.766197096970496
2020-05-05,1.08612764103896,1.29249267577466,0.897488285437263
2020-05-06,1.45916840258364,1.69687168215676,1.23917559993362
2020-05-07,1.22406820617374,1.4334349720638,1.03102244432086
2020-05-08,1.22417852955853,1.42769604260759,1.03611337906769
2020-05-09,1.44565464108059,1.66187714962386,1.24430952336
2020-05-10,1.29837026978992,1.49534873663425,1.11512655458374
2020-05-11,1.47688276446085,1.67974825386868,1.28690547420244
2020-05-12,1.33880945812644,1.52403369286122,1.16543223799197
2020-05-13,1.17222459971072,1.3397301393161,1.01576262342801
2020-05-14,1.41765890946769,1.59832685786077,1.24768701387101
2020-05-15,1.26931920584733,1.43450253697885,1.1141099843594
2020-05-16,1.13822475709191,1.29029525551357,0.995566781924647
2020-05-17,1.12544117844652,1.27479916062241,0.985269696764367
2020-05-18,1.04261257620029,1.18515080880724,0.909089766688791
2020-05-19,1.00795879757498,1.1477470371256,0.877131763054626
2020-05-20,1.05407163827794,1.19716955720893,0.919965099418346
2020-05-21,1.30750543559321,1.46590185486918,1.15804826365202
2020-05-22,1.19775682217728,1.34534189440704,1.05863558677937
2020-05-23,0.977437532156447,1.1080263387739,0.854931622562472
2020-05-24,1.03243856242931,1.1667953421464,0.906194521710017
2020-05-25,1.09518571721596,1.23362681343815,0.964878075770514
2020-05-26,1.21257916744903,1.35682398316381,1.0763358140539
2020-05-27,1.04346327953487,1.17483726428189,0.919778340951518
2020-05-28,0.720800974770207,0.829840731240531,0.61934383516945
