Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,1.55248284697753,1.91792789270908,1.22519518471367
2020-04-14,1.48093749830528,1.82039991080528,1.17607814047612
2020-04-15,1.25447968794657,1.55388591185102,0.986727853767743
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,1.18855534699649,1.48051792195644,0.928271586903896
2020-04-30,1.43193705961553,1.74621760607403,1.14845539410993
2020-05-01,1.45418588221724,1.75750253708485,1.17924678893489
2020-05-02,1.29974736504504,1.57381884941474,1.05157323462791
2020-05-03,1.20979632911152,1.4663154039895,0.977638580880562
2020-05-04,1.15279104403772,1.398593774028,0.930451153526248
2020-05-05,1.25659960766943,1.50933870678657,1.02673293835394
2020-05-06,1.12246203084048,1.35658713999868,0.910241092116599
2020-05-07,1.0038340097956,1.22285549084137,0.80616113865059
2020-05-08,1.05299163593226,1.27751473585375,0.84990015091981
2020-05-09,1.0505351044672,1.27453441289713,0.847917412983772
2020-05-10,1.11006447963645,1.33914826533044,0.902205633019867
2020-05-11,1.15664051247336,1.38811630138302,0.946017347195544
2020-05-12,1.00557823744338,1.2187959444072,0.812609575150979
2020-05-13,1.07727086656414,1.29727724303154,0.877454813582973
2020-05-14,1.12184974698621,1.34525556038914,0.918478652769673
2020-05-15,1.05554993031521,1.27001445101257,0.860674821612266
2020-05-16,1.17672069864673,1.40130882929571,0.971503619785926
2020-05-17,1.10317462658712,1.31764516143542,0.907518435816339
2020-05-18,1.08798195917532,1.29851261139583,0.895840979557046
2020-05-19,1.10141887426978,1.31163494875393,0.909334240898635
2020-05-20,1.09201827822321,1.2995025382702,0.902355832921433
2020-05-21,1.31491271589236,1.53981768553833,1.10754001743551
2020-05-22,1.2615561300128,1.47577481322763,1.06392478715023
2020-05-23,1.10173126351264,1.29668930722907,0.922456563689517
2020-05-24,1.05460934741049,1.24345415953319,0.881123340995146
2020-05-25,1.08111293669963,1.27167953474302,0.905821389385735
2020-05-26,1.06116608831117,1.24894587770896,0.888492190197466
2020-05-27,0.979258665992205,1.15897174106457,0.814496693669626
2020-05-28,0.73075649403137,0.887454792710131,0.589092872257433
2020-05-29,0.689008717204221,0.84593132792574,0.547989080116897
2020-05-30,0.643543128877394,0.801626224864158,0.502612522835997
2020-05-31,,,
