Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,2.766342758827,3.40044743089314,2.19687545993259
2020-03-20,1.98094460216536,2.44724694627135,1.56333050151417
2020-03-21,1.50092783581047,1.8696231236485,1.17223709227917
2020-03-22,1.37216865486493,1.70923490488524,1.07167510370471
2020-03-23,2.077535046686,2.47585984307841,1.71371022359298
2020-03-24,1.4826107231981,1.79185628150706,1.20229742012486
2020-03-25,1.64390787618817,1.95078769241148,1.36296300128007
2020-03-26,1.41708431966994,1.68754809131318,1.16994844034314
2020-03-27,1.51984883340756,1.78775092937808,1.27342069010503
2020-03-28,1.68098896482727,1.9495270207502,1.43209838351541
2020-03-29,1.96193703116816,2.23337094059428,1.70786414090128
2020-03-30,1.56550163017584,1.78806466089604,1.35754198243563
2020-03-31,1.52916592919651,1.7362811400125,1.33503624555558
2020-04-01,1.3305590099455,1.5150868915077,1.15786039374779
2020-04-02,1.21354549361233,1.38434383764947,1.05384872691669
2020-04-03,1.0581387237058,1.21508463674595,0.911907603432034
2020-04-04,1.05138833416684,1.20733301171128,0.906090094433648
2020-04-05,0.696545305363137,0.824374961715675,0.579350347269626
2020-04-06,0.68731853330727,0.81849969187226,0.567451939803457
2020-04-07,0.836946653524348,0.987418102990543,0.698758513027118
2020-04-08,0.798711882281815,0.949123064870339,0.661114936275398
2020-04-09,0.717571506663626,0.863366248175042,0.585093808217424
2020-04-10,0.858007241116178,1.02176593303618,0.708372973727345
2020-04-11,0.687536069219239,0.83754609745433,0.552147919891646
2020-04-12,0.818102218027536,0.986049994933815,0.665640617099532
2020-04-13,0.940985721254343,1.12478967329918,0.773375822688925
2020-04-14,0.708414055695817,0.869756256913073,0.563422721700585
2020-04-15,0.736220411459942,0.904977808238627,0.584665276881176
2020-04-16,0.73451365098533306,0.908604495293314,0.578713214519263
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
