Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,1.94172189251199,2.41178041957807,1.52200000433627
2020-03-26,2.2527679350242,2.71523748740516,1.83294190555669
2020-03-27,1.73848803020999,2.10307384543782,1.40818088601257
2020-03-28,1.79561952091344,2.13833026954101,1.48246807108251
2020-03-29,1.41570594734777,1.70044600580685,1.15673434743575
2020-03-30,1.45284746575484,1.72888953153762,1.20051597231694
2020-03-31,1.48854292053961,1.75724707199648,1.24185570094434
2020-04-01,1.56493884967713,1.8278467152137,1.32218757852766
2020-04-02,1.05670280530472,1.26310992431283,0.86848119257417
2020-04-03,1.12259778079687,1.33307566433639,0.92997918178229
2020-04-04,0.928292258952067,1.11986374764685,0.754470141580944
2020-04-05,0.943448488788463,1.1381477656176,0.766788377309213
2020-04-06,1.13134507201537,1.34630145123171,0.934852323571933
2020-04-07,0.977049067551705,1.1755639401809,0.796666749502204
2020-04-08,0.958031908413428,1.15470577835018,0.779492998142553
2020-04-09,1.29301329492566,1.52181985676754,1.08261301130654
2020-04-10,1.34323964033378,1.57051127555985,1.13350760455052
2020-04-11,1.13737312097659,1.33942885909157,0.95163068474742
2020-04-12,1.51891236471204,1.74737852633183,1.30624920151283
2020-04-13,1.23881009098357,1.4367100537145,1.05538939630245
2020-04-14,1.19731818341657,1.38618993806827,1.02210367203396
2020-04-15,1.01263355970471,1.18396775658837,0.854522012366411
2020-04-16,0.808709136688017,0.962364455619096,0.668252007479794
2020-04-17,0.882148635802485,1.0461159019345,0.731983546926499
2020-04-18,1.15708322701061,1.34748194019364,0.981003710712241
2020-04-19,0.885747551780936,1.05109626130903,0.734372746209551
2020-04-20,0.956623787873523,1.12930861921909,0.798088310546702
2020-04-21,1.07336326899508,1.25762769668445,0.903511883145636
2020-04-22,1.16536837495687,1.3558442493989,0.989128228149326
2020-04-23,1.25095833949707,1.44469939375534,1.07098882649614
2020-04-24,1.05164695183565,1.22528516329692,0.891108717069045
2020-04-25,0.967016048338932,1.13241616377643,0.814509554963792
2020-04-26,1.46026747121803,1.66327591003225,1.2703026811062
2020-04-27,1.50674551598957,1.7049541712343,1.32062739466675
2020-04-28,1.40090245151044,1.58205228576789,1.23062538212715
2020-04-29,1.24932830120126,1.41367435693029,1.09500719397547
2020-04-30,1.13394489433527,1.28682513744029,0.990608433354492
2020-05-01,1.15250004315515,1.30477442372137,1.00955265306699
2020-05-02,1.16397473983081,1.31512652893738,1.02193149672429
2020-05-03,0.798669770432293,0.922736691970576,0.683446634741022
2020-05-04,0.664112096678772,0.779836172981003,0.557565899882795
2020-05-05,0.615983254856017,0.732498595955835,0.509434934620247
2020-05-06,0.674029648333317,0.801524663445869,0.557440883536766
2020-05-07,0.763669930272198,0.904409765150417,0.634684374703919
2020-05-08,0.776606881015818,0.922214306448643,0.6433544089682
