Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,2.35637965109884,2.93097101789867,1.84372195313197
2020-03-28,3.97535758425191,4.62730032930761,3.37229158737044
2020-03-29,2.72750485093583,3.15775692106419,2.32836414099796
2020-03-30,2.33768443641196,2.67521252001924,2.02262676010607
2020-03-31,1.85643429623979,2.123777128932,1.60684588323939
2020-04-01,1.71572382459661,1.95252429449675,1.49403506183305
2020-04-02,1.54029972407197,1.75087803989695,1.34304030926863
2020-04-03,1.34434048921154,1.5316888242908,1.16905719136987
2020-04-04,0.868582211386922,1.01554340400116,0.732962691258677
2020-04-05,0.912513178916567,1.06527631146513,0.771423946998524
2020-04-06,0.770104416873087,0.913865211103701,0.6384930947312
2020-04-07,0.811505138394599,0.962994495761911,0.672818407285188
2020-04-08,0.732568550140162,0.880654370836589,0.597946193987735
2020-04-09,0.670411002628251,0.816684598932201,0.538395085212067
2020-04-10,0.648431465895087,0.798037339984757,0.514165824807835
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,1.51421233523494,1.88344542334197,1.18477789556279
