Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,1.94355049781537,2.41405169976647,1.52343333899166
2020-03-27,2.0902382849657,2.53592727555257,1.68709206534
2020-03-28,1.70663749574634,2.07259687377324,1.37579069427782
2020-03-29,1.56795793736566,1.89500536806257,1.2715082613814
2020-03-30,1.62286485282853,1.93836947429488,1.33503775130923
2020-03-31,1.62475577318378,1.9229301640579,1.35138779082232
2020-04-01,1.55406242995277,1.82906322296904,1.30118399683297
2020-04-02,1.45469696707976,1.70722819347016,1.22212372312088
2020-04-03,1.34700141997248,1.57996223202545,1.13238815790076
2020-04-04,1.42826538712243,1.66016556058165,1.21359024332925
2020-04-05,1.23263616931366,1.44045194258847,1.04080558254718
2020-04-06,1.05557479506097,1.24384134196738,0.882563828836416
2020-04-07,1.00974589711597,1.19351850398435,0.841145298218676
2020-04-08,0.928291324897122,1.10546439034594,0.766399693139224
2020-04-09,0.955306771988818,1.13681574730238,0.789388470068499
2020-04-10,0.854193492275076,1.02774681518503,0.696492710076414
2020-04-11,0.760326525664285,0.927202460865533,0.609804106835855
2020-04-12,0.848247796083636,1.029114593292,0.684645447606626
2020-04-13,0.862992737234032,1.04910783530958,0.694827919262516
2020-04-14,0.916668200995234,1.11103387497777,0.740761215416707
2020-04-15,0.943582892791405,1.14255168550308,0.763414907694647
2020-04-16,0.752988350020896,0.932703813483541,0.592273103874979
2020-04-17,0.831193647627476,1.02423605810769,0.658063838351855
2020-04-18,1.01038278426023,1.2270421839385799,0.814511128290803
2020-04-19,1.16437128520561,1.39624486254802,0.95329180421207
2020-04-20,1.21992170006094,1.4527551451341,1.00717047709586
2020-04-21,1.31532929087767,1.55086021370249,1.09895416926908
2020-04-22,1.38819193524791,1.62223356704429,1.17215278264754
2020-04-23,1.33011646987705,1.55048563978016,1.126425742772
2020-04-24,1.23601198138123,1.4414967848439,1.04612890985671
2020-04-25,1.1019066684412,1.29177116372216,0.926944127057484
2020-04-26,0.919655745032546,1.09208366009755,0.761858531984308
2020-04-27,0.930268143880015,1.10545363285219,0.770007531255519
2020-04-28,1.01741681780224,1.2025855235264,0.847535380007262
2020-04-29,0.825325438328397,0.993013407856833,0.672954262043519
2020-04-30,0.894483878174579,1.07174171296827,0.73305112445957
2020-05-01,0.862098241918311,1.03907793958259,0.701437538128777
2020-05-02,0.735966637994578,0.902522282535252,0.58619331903063
2020-05-03,0.880556900474549,1.06726571753059,0.71157960877328
2020-05-04,0.82267514315097,1.00654512598078,0.65712368491002
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,1.11366984932228,1.37061535554502,0.883070928475038
2020-05-10,1.05286703639779,1.30070555069423,0.830906200123054
2020-05-11,1.19754432115509,1.45730709805657,0.962967052631476
2020-05-12,1.21606255942954,1.47248783076504,0.983867229524955
