Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,1.81194702387805,2.25704259314986,1.41514565854378
2020-03-31,1.81226833555992,2.22501475145137,1.44135078893945
2020-04-01,1.66078065926453,2.02747530929144,1.33021722629236
2020-04-02,1.50272199911664,1.83059333504956,1.20680915974328
2020-04-03,1.41723884899055,1.72114161040581,1.14249453962543
2020-04-04,1.3737869496322,1.66188972990876,1.11277183984517
2020-04-05,1.44708609604203,1.7324641667465699,1.18707277271324
2020-04-06,1.38707514875386,1.65548202194077,1.14211338662341
2020-04-07,1.13973810925974,1.37494563599227,0.926322894935179
2020-04-08,1.08740682912095,1.31422006250639,0.881813685023233
2020-04-09,1.34659537244092,1.59689056402652,1.11736913371457
2020-04-10,1.273000769888,1.50961674088318,1.0563022839514
2020-04-11,1.13313634787948,1.35039203546651,0.934697755007052
2020-04-12,0.979498744986391,1.17953754333069,0.797817814778542
2020-04-13,0.860692828019154,1.04959708921301,0.690300816207471
2020-04-14,0.912034904670184,1.10986701433247,0.733383765871939
2020-04-15,0.875093488779055,1.07189563661229,0.6980088384343
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
