Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,2.39463165098496,2.958313417201,1.88980585109948
2020-03-26,2.32448274055862,2.811960031298,1.88283848277368
2020-03-27,2.43948550676814,2.88164806675467,2.03368915282144
2020-03-28,2.0505185725338,2.40782928699564,1.72154556262239
2020-03-29,1.77055076942453,2.07119934570887,1.4931819565409
2020-03-30,1.76213584845808,2.0409758153058,1.50351749728417
2020-03-31,1.6522063246038,1.90432630274988,1.41776154550429
2020-04-01,1.58040151316736,1.8122621965183,1.36420907487096
2020-04-02,1.47403674130737,1.68631096976333,1.27585978901103
2020-04-03,1.30964198622836,1.50126210275113,1.13093818095693
2020-04-04,1.57888725231303,1.78262290809996,1.3873557450815
2020-04-05,1.54825444103574,1.74013424206289,1.36743905765725
2020-04-06,1.43317326170947,1.60809611607869,1.268192358226
2020-04-07,1.37732603813213,1.54175815563088,1.22204626369727
2020-04-08,1.29866041995152,1.45286950016518,1.15299107984884
2020-04-09,1.18193449289284,1.32511874773155,1.04683097292363
2020-04-10,1.08617660100099,1.22131502852467,0.958859418574956
2020-04-11,0.865043245976711,0.985302775366924,0.752510602540812
2020-04-12,0.917118503832261,1.04279623966317,0.799407415010118
2020-04-13,0.853258311568101,0.976456566319545,0.738261789050315
2020-04-14,0.921133937060197,1.0511015873517,0.799633759372896
2020-04-15,0.937118387310504,1.06967371558356,0.813219474525135
2020-04-16,1.02807566800001,1.16764444421216,0.897276522558159
2020-04-17,1.17658997752129,1.32532128740923,1.0365966754639
2020-04-18,1.23020590868392,1.37951515172279,1.089337891815
2020-04-19,1.10401784592302,1.24218866828442,0.973888440364835
2020-04-20,1.10588349535389,1.24241022609078,0.977200647501184
2020-04-21,0.976715280918794,1.10409282878168,0.857044576348464
2020-04-22,1.39720748198209,1.54911804317159,1.25303429312677
2020-04-23,1.4241932890747,1.5725102906061,1.28312719019145
2020-04-24,1.23488431168358,1.36698612193184,1.10940791693216
2020-04-25,1.17374939350801,1.29931129286425,1.05448490788324
2020-04-26,1.16090118681384,1.28384580588075,1.04406396303294
2020-04-27,1.20996660157045,1.33361331045492,1.09225673081718
2020-04-28,1.23451292683878,1.35698719164779,1.11775537019004
2020-04-29,0.932103064586512,1.03645891639862,0.833212521880933
2020-04-30,0.84180189547799,0.94158366375169,0.747536504598256
2020-05-01,0.886831552601441,0.991394891576535,0.788019980982215
2020-05-02,0.933373824961203,1.0422816167570499,0.830397806384971
2020-05-03,0.992994892414613,1.1061615288902,0.885855826735558
2020-05-04,0.950704577713215,1.06163455393497,0.845816515034606
2020-05-05,0.871369992727401,0.978125814665121,0.77070347997527
2020-05-06,0.851531030501621,0.958526479589252,0.750786008111116
2020-05-07,0.832385497646862,0.9400207543162,0.731210599292135
2020-05-08,0.812993374529973,0.921368406487404,0.711312151049342
