Date,Rt,Rt upper,Rt lower
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,1.3309401625668,1.65313860655709,1.0432446278789
2020-04-21,,,
2020-04-22,1.55715792287139,1.88918138058942,1.25682741295726
2020-04-23,1.52909051460151,1.84299670744251,1.24412907251907
2020-04-24,1.29157607109114,1.56543530749183,1.04372493688104
2020-04-25,,,
2020-04-26,,,
2020-04-27,1.17089110445616,1.4325882385732,0.935266227008636
2020-04-28,1.21133376335353,1.47408764775234,0.974055392559014
2020-04-29,1.30174326316331,1.56759266771727,1.06029126727883
2020-04-30,1.57131229422533,1.85381254376992,1.31187314937054
2020-05-01,1.39284467242373,1.64530108764482,1.16115184698348
2020-05-02,1.29135111307062,1.52445920843192,1.07734329965188
2020-05-03,1.21400026024221,1.43404069967247,1.0120573186138
2020-05-04,1.28792861413665,1.50984569957084,1.08342920424658
2020-05-05,1.24313046636513,1.45575767456281,1.04707842714737
2020-05-06,0.835400940687609,1.00689996333074,0.679715548291196
2020-05-07,0.620141684386968,0.771360125725695,0.485222674972306
2020-05-08,0.718291432171433,0.888537365270383,0.565931951184221
2020-05-09,0.825417471873244,1.01462073442983,0.655500618053141
2020-05-10,0.8908132340652,1.09115063804578,0.710547522915857
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,1.24681718241044,1.53832924976863,0.985557243059603
2020-05-18,1.21501430052674,1.49719798902232,0.961938263771917
2020-05-19,1.36357204853354,1.65269694666922,1.10190501523157
2020-05-20,1.37912503098045,1.65933289254758,1.12451164642269
2020-05-21,1.30094906047216,1.56260813750373,1.0629696550556
2020-05-22,1.16549296755965,1.4060155192728,0.947255172890257
2020-05-23,1.24251247080409,1.48637218933615,1.02023202760309
2020-05-24,0.875707362767085,1.07775024986338,0.694381476145517
2020-05-25,0.971633353705537,1.18616665200954,0.778238485334774
2020-05-26,0.947308826340899,1.16169304432693,0.754526192346064
2020-05-27,0.855248217437528,1.06081452535477,0.67155380121205
2020-05-28,0.871208271986163,1.08211328298535,0.682888213216428
2020-05-29,0.924626910052182,1.14530728799621,0.727277719406602
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
